,GeoCode,Cencus_ratio_B,Diagnosis_ratio_B,Diagnosis_number,Relative_difference
0,E38000056,0.0010291681309302675,0.0,0.0,-1.0
1,E38000151,0.0016490137629225597,0.0,0.0,-1.0
2,E38000189,0.0004049285590327992,0.0,0.0,-1.0
3,E38000194,0.0009933569255603154,0.0,0.0,-1.0
4,E38000196,0.000593431173396024,0.0,0.0,-1.0
5,E38000208,0.0007873240822753666,0.0,0.0,-1.0
6,E38000042,0.0020066164108682684,0.0,0.0,-1.0
7,E38000047,0.0001789228842368939,0.0,0.0,-1.0
8,E38000075,0.00024149816680937012,0.0,0.0,-1.0
9,E38000116,0.00021406145942346114,0.0,0.0,-1.0
10,E38000162,0.0006816777794346335,0.0,0.0,-1.0
11,E38000016,0.004137282557592854,0.0,0.0,-1.0
12,E38000024,0.0032498307379823965,0.0,0.0,-1.0
13,E38000032,0.12776667406913908,0.0,0.0,-1.0
14,E38000080,0.0024338006230529593,0.0,0.0,-1.0
15,E38000123,0.02013961821214555,0.0,0.0,-1.0
16,E38000135,0.00658513640639699,0.0,0.0,-1.0
17,E38000143,0.0029512738661687647,0.0,0.0,-1.0
18,E38000158,0.016584491259524877,0.0,0.0,-1.0
19,E38000174,0.0021557214807846827,0.0,0.0,-1.0
20,E38000182,0.0018106240277459007,0.0,0.0,-1.0
21,E38000187,0.017478565324070244,0.0,0.0,-1.0
22,E38000205,0.0007163739859435808,0.0,0.0,-1.0
24,E38000015,0.0006975292778736371,0.0,0.0,-1.0
26,E38000050,0.0005715405467193572,0.0,0.0,-1.0
27,E38000060,0.0004943031561256519,0.0,0.0,-1.0
28,E38000065,0.008363508187265677,0.0,0.0,-1.0
29,E38000093,0.0009038564542046063,0.0,0.0,-1.0
30,E38000200,0.000622754491017964,0.0,0.0,-1.0
31,E38000068,0.0010821925220496726,0.0,0.0,-1.0
32,E38000091,0.0025202050925523596,0.0,0.0,-1.0
33,E38000101,0.010066293954113585,0.0,0.0,-1.0
34,E38000161,0.0008485218748939347,0.0,0.0,-1.0
35,E38000170,0.0021054160011616087,0.0011890606420927466,1.0,-0.43523719709705194
36,E38000172,0.00044585987261146497,0.0,0.0,-1.0
37,E38000041,0.0003163373882034912,0.0,0.0,-1.0
41,E38000127,0.00042498937526561835,0.0,0.0,-1.0
42,E38000130,0.0002527486414760521,0.0,0.0,-1.0
43,E38000163,0.0006703161657915317,0.0,0.0,-1.0
44,E38000176,0.0002991900497937726,0.0,0.0,-1.0
46,E38000069,0.0004486460503124499,0.0,0.0,-1.0
47,E38000073,0.0011005373211626854,0.0,0.0,-1.0
48,E38000085,0.0017911617363074082,0.0,0.0,-1.0
49,E38000119,0.0007777424258493301,0.0,0.0,-1.0
50,E38000122,0.0010985718565864376,0.0,0.0,-1.0
51,E38000145,0.00040218790218790216,0.0,0.0,-1.0
52,E38000188,0.0006694424034615071,0.0,0.0,-1.0
53,E38000006,0.0006998250437390653,0.0,0.0,-1.0
54,E38000008,0.0021966477245594766,0.0,0.0,-1.0
55,E38000044,0.0037738800570970453,0.0,0.0,-1.0
56,E38000141,0.0010035234824494893,0.0,0.0,-1.0
57,E38000146,0.014866157903334967,0.0,0.0,-1.0
58,E38000001,0.0010520086790716024,0.0,0.0,-1.0
59,E38000018,0.04051172707889126,0.0,0.0,-1.0
60,E38000019,0.011049723756906077,0.0,0.0,-1.0
61,E38000025,0.001755358462675536,0.0,0.0,-1.0
62,E38000064,0.025050180650341227,0.0018315018315018315,1.0,-0.9268866816943739
63,E38000094,0.02441520052297985,0.0,0.0,-1.0
64,E38000095,0.009696048632218845,0.0,0.0,-1.0
65,E38000096,0.0053233770926171264,0.0,0.0,-1.0
66,E38000121,0.0019413851036027628,0.0,0.0,-1.0
67,E38000190,0.001251314787276486,0.0,0.0,-1.0
68,E38000038,0.014689229994967287,0.0,0.0,-1.0
69,E38000078,0.00017941357391839245,0.0,0.0,-1.0
70,E38000139,0.0037396434443405656,0.0,0.0,-1.0
71,E38000164,0.0018134193028410237,0.0,0.0,-1.0
73,E38000195,0.0021357600520011144,0.0,0.0,-1.0
74,E38000211,0.0005864242779651077,0.0,0.0,-1.0
75,E38000012,0.03848267719741074,0.0019880715705765406,2.0,-0.9483385326759359
76,E38000013,0.04149277688603531,0.0,0.0,-1.0
77,E38000046,0.0077839063869271615,0.0,0.0,-1.0
78,E38000144,0.08086357906984261,0.002572347266881029,4.0,-0.9681890500461366
79,E38000149,0.007854328720072735,0.0,0.0,-1.0
80,E38000191,0.00940739932336571,0.0017241379310344827,1.0,-0.8167253380270422
81,E38000210,0.04747840212655985,0.0,0.0,-1.0
82,E38000058,0.0035447761194029852,0.0,0.0,-1.0
83,E38000071,0.0007772272418148256,0.0,0.0,-1.0
84,E38000103,0.0018825529847573935,0.0,0.0,-1.0
85,E38000109,0.0015727509661184506,0.0,0.0,-1.0
86,E38000115,0.001564945226917058,0.0,0.0,-1.0
87,E38000132,0.04598897389738974,0.0,0.0,-1.0
88,E38000133,0.007055083924487344,0.0,0.0,-1.0
89,E38000134,0.003184396457358941,0.0,0.0,-1.0
90,E38000142,0.002546148949713558,0.0,0.0,-1.0
91,E38000169,0.007768987903082763,0.0,0.0,-1.0
92,E38000026,0.003568025006670987,0.0,0.0,-1.0
93,E38000063,0.0006476683937823834,0.0,0.0,-1.0
94,E38000086,0.005729680005256587,0.0017777777777777779,2.0,-0.6897247706422017
95,E38000124,0.0007375821136337444,0.0,0.0,-1.0
96,E38000131,0.00121311375974282,0.0,0.0,-1.0
97,E38000159,0.0008628482208891446,0.0,0.0,-1.0
98,E38000203,0.0011299151308190628,0.0,0.0,-1.0
99,E38000204,0.0015922414417022508,0.0,0.0,-1.0
100,E38000007,0.005484417101843241,0.0,0.0,-1.0
101,E38000030,0.0017376681614349775,0.0,0.0,-1.0
102,E38000106,0.002098603502816141,0.0,0.0,-1.0
103,E38000117,0.0018891005094377603,0.0,0.0,-1.0
104,E38000168,0.0037340087018637572,0.0,0.0,-1.0
105,E38000185,0.009240297687428201,0.0036231884057971015,1.0,-0.6078926752839796
106,E38000197,0.0039644848234565355,0.0,0.0,-1.0
107,E38000010,0.010670661086832312,0.000471253534401508,1.0,-0.9558365193527663
108,E38000037,0.002526467757459095,0.0,0.0,-1.0
109,E38000049,0.007925269233057655,0.0,0.0,-1.0
110,E38000079,0.007726498088526553,0.0,0.0,-1.0
111,E38000102,0.05167287802018341,0.0014347202295552368,1.0,-0.9722345593176591
112,E38000107,0.012705635281764088,0.0,0.0,-1.0
113,E38000108,0.009545732930666724,0.000997506234413965,2.0,-0.8955023944563372
114,E38000051,0.0026535823361538077,0.0,0.0,-1.0
115,E38000097,0.029960232158211524,0.0010251153254741158,2.0,-0.9657841327777178
116,E38000099,0.000644674071208856,0.0,0.0,-1.0
117,E38000100,0.0012481033723263668,0.0,0.0,-1.0
118,E38000157,0.0008914795131150352,0.0,0.0,-1.0
119,E38000165,0.0008923639145030383,0.0,0.0,-1.0
120,E38000201,0.0010099894266731896,0.0,0.0,-1.0
121,E38000028,0.001216709476814925,0.0,0.0,-1.0
122,E38000053,0.006016042780748663,0.0,0.0,-1.0
123,E38000126,0.00112822525262435,0.0,0.0,-1.0
124,E38000147,0.00022117253037172782,0.0,0.0,-1.0
125,E38000153,0.0017494411507435125,0.0,0.0,-1.0
126,E38000173,0.004380939543034306,0.0,0.0,-1.0
127,E38000175,0.003933064614632955,0.0,0.0,-1.0
128,E38000183,0.004234297812279464,0.0,0.0,-1.0
129,E38000004,0.03928368096889395,0.0,0.0,-1.0
130,E38000005,0.02932619328723225,0.0,0.0,-1.0
131,E38000011,0.013651510265505751,0.0,0.0,-1.0
132,E38000020,0.18129514016403478,0.0,0.0,-1.0
133,E38000023,0.012145204373810942,0.0,0.0,-1.0
134,E38000027,0.044751219919089126,0.0031746031746031746,1.0,-0.9290610807852187
135,E38000031,0.03225128689988444,0.001937984496124031,1.0,-0.9399098553139914
136,E38000035,0.2530113944655453,0.0,0.0,-1.0
137,E38000040,0.09070422535211267,0.0,0.0,-1.0
138,E38000048,0.08126535456979601,0.0024549918166939444,3.0,-0.9697904250871701
139,E38000057,0.07442123966729328,0.0,0.0,-1.0
140,E38000066,0.05376014703629959,0.0,0.0,-1.0
141,E38000070,0.1149698409797112,0.0,0.0,-1.0
142,E38000072,0.18793866511690285,0.0,0.0,-1.0
143,E38000074,0.036563994415896875,0.0,0.0,-1.0
144,E38000077,0.00969794450883459,0.0,0.0,-1.0
145,E38000082,0.02106430155210643,0.0013477088948787063,1.0,-0.9360192935168109
146,E38000084,0.030827655534457724,0.0,0.0,-1.0
147,E38000088,0.11149922377467288,0.0,0.0,-1.0
148,E38000090,0.007859318204145791,0.0,0.0,-1.0
149,E38000092,0.24802691163151766,0.0,0.0,-1.0
150,E38000098,0.17975894394490147,0.0,0.0,-1.0
151,E38000105,0.07508001037972493,0.0,0.0,-1.0
152,E38000113,0.17316563880930413,0.0,0.0,-1.0
153,E38000138,0.042354350756327694,0.0,0.0,-1.0
154,E38000140,0.004783364958886781,0.0,0.0,-1.0
155,E38000171,0.18814098257870931,0.0,0.0,-1.0
156,E38000179,0.016156868505122463,0.003367003367003367,1.0,-0.7916054484236302
157,E38000186,0.07951188182402055,0.0,0.0,-1.0
158,E38000192,0.1241101462880388,0.0,0.0,-1.0
159,E38000193,0.11965367321912973,0.0,0.0,-1.0
160,E38000202,0.06823634663088121,0.0015552099533437014,1.0,-0.9772084815478695
162,E38000062,0.0048313950877823175,0.0,0.0,-1.0
163,E38000181,0.00526617830739628,0.0,0.0,-1.0
164,E38000206,0.0018482126146359722,0.0,0.0,-1.0
165,E38000022,0.02913802978235968,0.0,0.0,-1.0
166,E38000125,0.0005394881898998429,0.0,0.0,-1.0
167,E38000150,0.00042092065197922265,0.0,0.0,-1.0
168,E38000155,0.002792226800873697,0.0,0.0,-1.0
169,E38000089,0.0004406161714774465,0.0,0.0,-1.0
170,E38000129,0.0005210722761229957,0.0,0.0,-1.0
171,E38000152,0.0004035011484263455,0.0,0.0,-1.0
172,E38000002,0.0025540865384615385,0.0,0.0,-1.0
173,E38000029,0.0011856770215793219,0.0,0.0,-1.0
174,E38000043,0.0043859649122807015,0.0,0.0,-1.0
175,E38000104,0.005296581543034725,0.0,0.0,-1.0
176,E38000156,0.0012214784775492257,0.0,0.0,-1.0
177,E38000180,0.0013440074796938,0.0,0.0,-1.0
178,E38000184,0.001548586914440573,0.0,0.0,-1.0
179,E38000199,0.0011340324409729744,0.0,0.0,-1.0
180,E38000021,0.003278045500392245,0.0,0.0,-1.0
182,E38000039,0.007053757053757053,0.0,0.0,-1.0
183,E38000054,0.002802690582959641,0.0,0.0,-1.0
184,E38000055,0.0012687530605885234,0.0,0.0,-1.0
186,E38000076,0.0020649110873578857,0.0,0.0,-1.0
187,E38000081,0.0008909215098149853,0.0,0.0,-1.0
188,E38000083,0.0010545267489711935,0.0,0.0,-1.0
189,E38000128,0.002699911210973599,0.0,0.0,-1.0
190,E38000177,0.0027203796955489958,0.0,0.0,-1.0
191,E38000178,0.0019898581423711406,0.0,0.0,-1.0
192,E38000003,0.006907137375287797,0.0,0.0,-1.0
193,E38000017,0.0030683726046430845,0.0,0.0,-1.0
194,E38000033,0.010708794025042103,0.0,0.0,-1.0
195,E38000110,0.0010749968382445935,0.0,0.0,-1.0
196,E38000114,0.009447210519596579,0.0,0.0,-1.0
197,E38000136,0.005952615602948713,0.0,0.0,-1.0
198,E38000148,0.04631940112289457,0.0,0.0,-1.0
199,E38000160,0.053016636600521146,0.0,0.0,-1.0
200,E38000207,0.0032368279086495235,0.0,0.0,-1.0
201,E38000209,0.0053806381100508635,0.0,0.0,-1.0
202,E38000045,0.000528166900740634,0.0,0.0,-1.0
203,E38000059,0.0007049509245702511,0.0,0.0,-1.0
204,E38000087,0.0005765612672209747,0.0,0.0,-1.0
205,E38000118,0.00243245872928356,0.0,0.0,-1.0
206,E38000120,0.0033803690494650335,0.0,0.0,-1.0
207,E38000137,0.00222530278710054,0.0,0.0,-1.0
208,E38000154,0.0008285200265126408,0.0,0.0,-1.0
209,E38000167,0.007733298674291656,0.0,0.0,-1.0
210,E38000198,0.0008339824955322366,0.0,0.0,-1.0
